"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"360","The Secret Life of Walter Mitty",0,0,0,1,1,0,0,1,0,1,0
"361","Charlie's Angels",1,0,0,1,0,0,0,0,1,1,0
"362","The Departed",0,0,0,0,1,0,0,0,1,0,0
"363","Mulan",0,1,0,0,0,1,0,0,0,1,0
"364","Tropic Thunder",1,0,0,1,0,0,0,0,0,0,0
"365","The Girl with the Dragon Tattoo",0,0,1,0,1,0,0,0,1,0,0
"366","Die Hard with a Vengeance",1,0,0,0,0,0,0,0,1,1,0
"367","Sherlock Holmes",1,0,1,0,0,0,0,0,1,1,0
"368","Ben-Hur",0,0,0,0,1,0,0,0,0,1,0
"369","Atlantis: The Lost Empire",1,1,0,0,0,1,0,0,0,1,1
"370","Alvin and the Chipmunks: The Road Chip",0,1,0,1,0,1,0,0,0,1,0
"371","Valkyrie",0,0,0,0,1,0,0,0,1,0,0
"372","You Don't Mess with the Zohan",1,0,0,1,0,0,0,0,0,0,0
"373","Pixels",1,1,0,1,0,0,0,0,0,0,1
"374","A.I. Artificial Intelligence",0,0,0,0,1,0,0,0,0,1,1
"375","The Haunted Mansion",0,0,1,1,0,1,1,0,0,0,0
"376","Contact",0,0,1,0,1,0,0,0,1,0,1
"377","Hollow Man",1,0,0,0,0,0,1,0,1,0,1
"378","The Interpreter",0,0,1,0,0,0,0,0,1,0,0
"379","Percy Jackson: Sea of Monsters",0,0,0,0,0,1,0,0,0,1,0
"380","Lara Croft Tomb Raider: The Cradle of Life",1,0,0,0,0,0,0,0,0,1,0
"381","Now You See Me 2",1,0,1,1,0,0,0,0,1,1,0
"382","The Saint",1,0,0,0,0,0,0,1,1,1,1
"383","Spy Game",1,0,0,0,0,0,0,0,1,0,0
"384","Mission to Mars",0,0,0,0,0,0,0,0,1,1,1
"385","Rio",0,1,0,1,0,1,0,0,0,1,0
"386","Bicentennial Man",0,0,0,1,1,0,0,0,0,0,1
"387","Volcano",1,0,0,0,1,0,0,0,1,0,1
"388","The Devil's Own",1,0,0,0,1,0,0,0,1,0,0
"389","K-19: The Widowmaker",0,0,0,0,1,0,0,0,1,0,0
